,C,Mn,Si,P,S,Cr,Cu,Ni,V,Ms:,Mf:,Ac1:,Ac3:,Austenitization Temp:,Austenitization Time:,Al,Ti,Mo,W,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
0.15% C- 0.67% Mn - 1.20% Cr - 0.31% V (SAE 6115),0.15,0.67,0.48,0.044,0.024,1.2,0.18,0.25,0.31,430,,750,870,920.0,300.0,0.0,0.0,0.0,0.0,1.9090702849231485,67.4166430283181,1.3074899403950677
0.20% C - 1.20% Mn - 0.97% Cu - 0.55% Ni,0.2,1.2,0.38,0.039,0.024,0.06,0.91,0.55,0.0,390,,700,795,870.0,300.0,0.0,0.0,0.0,0.0,1.5760172824488181,46.58999704757567,1.3542764208288902
0.30% C - 3.03% Ni (SAE 2330),0.3,0.51,0.32,0.011,0.007,0.07,0.0,3.03,0.0,340,,690,760,850.0,600.0,0.032,0.01,0.0,0.0,0.5596276445319552,1.702520841179651,0.5969120746897806
0.48% C - 1.98% Mn,0.48,1.98,0.28,0.02,0.011,0.0,0.0,0.0,0.0,280,,720,760,850.0,420.0,0.0,0.0,0.0,0.0,10.969420801161345,18.514356024063925,13.696972047431801
0.73% C - 1.62% Si (71 Si 7),0.73,0.73,1.62,0.019,0.012,0.1,0.19,0.12,0.01,210,,750,770,845.0,600.0,0.0,0.0,0.0,0.0,4.563947703262179,4.939480993737899,5.517702004499881
0.98% C - 1.84% Mn,0.98,1.84,0.08,0.023,0.011,0.0,0.0,0.0,0.0,120,,700,850,900.0,360.0,0.0,0.0,0.0,0.0,26.543802275694453,32.645617273437495,35.34981105030106
100 Cr 6,1.04,0.33,0.26,0.023,0.006,1.53,0.2,0.31,0.01,240,20,750,790,860.0,900.0,0.0,0.0,0.01,0.0,,11.71344160709404,9.973230480078769
105 WCr 6,1.03,0.97,0.28,0.016,0.018,1.05,0.25,0.13,0.0,250,20,720,780,815.0,900.0,0.0,0.0,0.03,1.15,,4.99443784003733,5.589599291573126
25 Cr Mo 4 (SAE 4118),0.22,0.64,0.25,0.01,0.011,0.97,0.16,0.33,0.01,400,350,720,820,875.0,300.0,0.0,0.0,0.23,0.0,1.8112359711123038,166.69171250207407,0.7795014384390019
28 NiCrMo 7 4,0.3,0.46,0.24,0.03,0.025,1.44,0.2,2.06,0.01,350,270,730,770,850.0,300.0,0.0,0.0,0.37,0.0,130.85439720555357,1447.3845804464195,8.312047745422188
34 Cr 4 (SAE 5135),0.35,0.656,0.23,0.026,0.013,1.11,0.18,0.23,0.01,360,260,740,800,850.0,300.0,0.0,0.0,0.05,0.0,4.832262443800226,17.86468813082115,1.7631699875100755
34 CrMo 4 (SAE 4130),0.3,0.64,0.22,0.011,0.012,1.01,0.19,0.11,0.01,390,240,730,790,850.0,300.0,0.0,0.0,0.24,0.0,2.6737367418581015,122.4998602416242,1.2837326181815067
37 MnSi 5,0.38,1.14,1.05,0.035,0.019,0.23,0.0,0.0,0.02,320,,720,790,860.0,300.0,0.0,0.0,0.0,0.0,2.9265591656684324,5.380943954798313,1.697064605869198
41 Cr 4 (SAE 5140),0.44,0.8,0.22,0.03,0.023,1.04,0.17,0.26,0.01,360,250,750,790,840.0,300.0,0.0,0.0,0.04,0.0,12.117933682881006,27.54228703338167,3.826988373761551
"42 CrMo 4 (SAE 4135,4140)",0.38,0.64,0.23,0.019,0.013,0.99,0.17,0.08,0.01,370,270,720,780,860.0,300.0,0.0,0.0,0.16,0.0,2.5630620724274356,62.46265468501694,1.522235170295561
45 CrMoV 6 7,0.43,0.75,0.27,0.011,0.011,1.31,0.0,0.11,0.23,320,210,750,820,970.0,900.0,0.0,0.0,0.72,0.0,737.3940728372814,1547.0748390346068,33.91511744976429
45 CrVMoW 5 8,0.39,0.45,0.58,0.018,0.003,1.45,0.0,0.13,0.7,350,270,790,900,1050.0,900.0,0.0,0.0,0.47,0.55,171.20877171259843,960.8574450193219,13.947895037913815
50 CrMo 4 (SAE 4150),0.5,0.8,0.32,0.017,0.022,1.04,0.17,0.11,0.01,280,220,720,770,850.0,300.0,0.0,0.0,0.24,0.0,89.81017740351595,179.62870100781527,11.22470740821111
50 CrV 4 (SAE 6145),0.47,0.82,0.35,0.035,0.015,1.2,0.14,0.04,0.11,300,220,740,790,880.0,300.0,0.0,0.0,0.0,0.0,15.54493051271145,39.639744004065655,9.425384272824624
50 CrV 4 (SAE 6150),0.55,0.98,0.22,0.017,0.013,1.02,0.07,0.01,0.11,280,200,720,760,880.0,300.0,0.0,0.0,0.0,0.0,820.5203320013371,18.102225006084115,17.81800623329977
56 NiCrMoV 7,0.52,0.7,0.29,0.01,0.01,1.09,0.0,1.72,0.14,270,150,710,790,850.0,900.0,0.0,0.0,0.43,0.0,960.3178598013658,1865.5586614131491,37.63704122972925
60 WCrV 7,0.55,0.34,0.94,0.015,0.012,1.27,0.0,0.12,0.18,310,210,780,820,880.0,900.0,0.0,0.0,0.05,2.1,48.74648020177972,140.90816855117316,22.998638539612113
61 CrSiV 5,0.58,0.81,0.89,0.013,0.006,1.27,0.14,0.06,0.11,270,90,740,800,870.0,900.0,0.0,0.0,0.02,0.0,25.64098519410044,33.029374074625466,25.64098519410044
Ck 45 0.44% C - 0.66% Mn (SAE 1042),0.44,0.66,0.22,0.022,0.029,0.15,0.0,0.0,0.02,350,220,730,780,1050.0,300.0,0.0,0.0,0.0,0.0,1.1821656367162616,2.4870993610759164,1.5624599099570886
X 45 NiCrMo 4,0.4,0.35,0.2,0.01,0.015,1.27,0.16,4.03,0.04,280,80,680,750,860.0,900.0,0.0,0.0,0.24,0.0,,6446.1784742643395,231.80151979656893
