,C,Mn,Si,P,S,Cr,Cu,Ni,V,Al,Ti,Mo,N,B,W,Nb,Sn,Co,Grain Size:,Austenitization Temp:,Austenitization Time:,Ms:,Mf:,Ac1:,Ac3:,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
0.15% C- 0.67% Mn - 1.20% Cr - 0.31% V (SAE 6115),0.15,0.67,0.48,0.044,0.024,1.2,0.18,0.25,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,920.0,300.0,430.0,,750.0,870.0,1.9090702849231485,67.4166430283181,1.3074899403950677
0.20% C - 1.20% Mn - 0.97% Cu - 0.55% Ni,0.2,1.2,0.38,0.039,0.024,0.06,0.91,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,300.0,390.0,,700.0,795.0,1.5760172824488181,46.58999704757567,1.3542764208288902
0.30% C - 3.03% Ni (SAE 2330),0.3,0.51,0.32,0.011,0.007,0.07,0.0,3.03,0.0,0.032,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,600.0,340.0,,690.0,760.0,0.5596276445319552,1.702520841179651,0.5969120746897806
0.48% C - 1.98% Mn,0.48,1.98,0.28,0.02,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,420.0,280.0,,720.0,760.0,10.969420801161345,18.514356024063925,13.696972047431801
0.73% C - 1.62% Si (71 Si 7),0.73,0.73,1.62,0.019,0.012,0.1,0.19,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,845.0,600.0,210.0,,750.0,770.0,4.563947703262179,4.939480993737899,5.517702004499881
0.98% C - 1.84% Mn,0.98,1.84,0.08,0.023,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,360.0,120.0,,700.0,850.0,26.543802275694453,32.645617273437495,35.34981105030106
1-1194,0.46,0.65,0.25,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,330.0,,730.0,795.0,0.6413187759503567,1.0,0.8008238108038226
1-5924,0.15,0.5,0.28,0.0175,0.0175,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,,420.0,,725.0,825.0,,123.78036448545367,0.2564163340832878
1-7734,0.15,0.95,0.1,0.01,0.0075,1.38,0.0,0.0,0.25,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,950.0,,400.0,,780.0,925.0,11.194549538024889,467.94916374033727,1.5232860221059312
1-8154,0.5,0.9,0.25,0.0,0.0,1.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,,300.0,210,730.0,775.0,21.36845047990716,61.14794164631031,13.725137024773549
1,0.299,2.5,0.97,0.008,0.0171,0.2,0.209,0.21,0.0,0.0095,0.0315,0.096,0.0069,0.018,0.0,0.0,0.0,0.0,,950.0,300.0,,,695.0,855.0,,,1.67866376312875
100 Cr 6,1.04,0.33,0.26,0.023,0.006,1.53,0.2,0.31,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,900.0,240.0,20,750.0,790.0,,11.71344160709404,9.973230480078769
100CrMnSi6-4,0.99,1.1,0.6,0.0125,0.0075,1.53,0.15,0.0,0.0,0.025,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,210.0,,740.0,770.0,,12.307645150940166,295.84433465770684
100CrMo7-3,0.99,0.7,0.25,0.0125,0.0075,1.8,0.15,0.0,0.0,0.0025,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,150.0,,740.0,765.0,,28.5447081148923,35.032763199925014
101Cr6,0.95,0.25,0.15,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,170.0,,740.0,770.0,,4.930997502990867,8.185467307069029
102Cr6,1.025,0.35,0.2,0.015,0.015,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,830.0,,210.0,,735.0,770.0,,4.049367015033748,8.304024956072512
105 WCr 6,1.03,0.97,0.28,0.016,0.018,1.05,0.25,0.13,0.0,0.0,0.0,0.03,0.0,0.0,1.15,0.0,0.0,0.0,,815.0,900.0,250.0,20,720.0,780.0,,4.99443784003733,5.589599291573126
105WCr6,1.05,0.95,0.25,0.015,0.015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,,830.0,,210.0,30,740.0,770.0,,57.85618587638058,45.52091131617149
10NiCr5-4,0.095,0.75,0.15,0.0125,0.0125,1.05,0.125,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,,440.0,,730.0,850.0,2.1654721194345092,115.14674466328763,0.6430661640986052
115CrV3,1.175,0.3,0.225,0.015,0.015,0.65,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,800.0,,210.0,,740.0,770.0,,1.2477517018709439,1.771459012244337
125Cr2,1.25,0.32,0.25,0.0125,0.0125,0.5,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,800.0,,180.0,,725.0,750.0,,0.5728811283775609,1.0771050560367692
13CrMo4-5,0.14,0.52,0.0,0.012,0.013,0.93,0.15,0.13,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,,935.0,1800.0,360.0,,765.0,885.0,0.896667809791779,1199.3539462092328,0.5902726102012864
13NiCr6,0.135,0.4,0.2,0.0175,0.0175,0.7,0.0,1.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,735.0,835.0,2.746817383680019,137.49847212572058,0.8476010564850198
14CrMoV6-9,0.14,0.9,0.125,0.01,0.0075,1.375,0.0,0.0,0.25,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,950.0,,400.0,,780.0,925.0,11.052951411260215,429.68695985825053,1.4285363782685272
15,0.3,1.41,0.5,0.019,0.058,1.25,0.15,0.0112,0.009,0.013,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,,950.0,300.0,346.0,,745.0,810.0,58.45339337544569,,9.239856704429972
15Cr3,0.15,0.5,0.28,0.0175,0.0175,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,920.0,,,,,,0.5681994622034233,4.777650786415173,0.27249082397702096
15CrMoV5-9,0.155,0.95,0.2,0.0125,0.015,1.35,0.0,0.0,0.25,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,,950.0,,400.0,,780.0,920.0,11.339499203261735,417.35535672519757,1.498875793167341
15CrNi6,0.14,0.56,0.25,0.019,0.02,1.59,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,600.0,400.0,,735.0,825.0,4.500137735939874,159.07901866580409,3.7374952136428172
15NiCr13,0.15,0.5,0.28,0.0125,0.0175,0.75,0.2,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,410.0,270,705.0,785.0,4.987247973892743,946.097356192216,2.9734595309278227
15NiCr14,0.12,0.4,0.34,0.006,0.007,0.78,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,830.0,600.0,390.0,,680.0,790.0,28.96325644291159,5533.142912987595,3.327272368549952
15NiCuMoNb5-6-4,0.12,0.97,0.37,0.007,0.013,0.27,0.53,1.12,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.03,0.0,0.0,,900.0,600.0,400.0,,710.0,815.0,8.841013579119872,8273.618151935216,3.768180408369013
16,0.16,0.56,0.22,0.01,0.007,1.64,0.0,1.54,0.009,0.03,0.0024,0.31,0.012,0.0002,0.008,0.005,0.0,0.0,,880.0,600.0,405.0,,735.0,825.0,7.869619911552368,2178.463506308071,1.161525909310089
16CrNiMo6,0.16,0.48,0.32,0.0,0.0,1.65,0.0,1.5,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,,400.0,,745.0,825.0,15.151698845084992,564.5417499465575,2.116627843152235
16MnCr5,0.17,1.15,0.28,0.0125,0.0175,0.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,,390.0,,765.0,840.0,0.6642657451654531,110.42531343436099,0.5120197056898922
16MnCrS5,0.17,1.15,0.28,0.0125,0.03,0.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,,380.0,,765.0,840.0,0.6086183578664466,104.89789498237411,0.4971479157397017
16Mo3,0.15,0.67,0.24,0.0075,0.033,0.15,0.1,0.08,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,930.0,600.0,450.0,,745.0,880.0,1.503604633607793,33.2459793227094,1.2262155738726337
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,405.0,,730.0,830.0,8.351946611289426,2212.9523723147404,1.272766111576758
17Cr3,0.2,0.72,0.3,0.01,0.01,0.79,0.02,0.27,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,390.0,,735.0,815.0,2.902602404842272,33.60369308424052,1.1187021661932897
17CrS3,0.2,0.72,0.3,0.01,0.01,0.79,0.02,0.27,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,390.0,,735.0,815.0,2.482816985001553,34.071045935736855,1.1153042700165114
17MnCr5,0.165,1.15,0.2,0.0125,0.0075,0.95,0.15,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,,390.0,,765.0,840.0,0.6376954189777558,110.5145010557489,0.5286913086811302
18,0.17,0.54,0.2,0.009,0.005,1.64,0.0,1.56,0.01,0.029,0.0025,0.32,0.072,0.002,0.0,0.031,0.0,0.0,,880.0,600.0,410.0,,725.0,820.0,11.385130897615369,2041.0759005698728,0.8926973084644604
18CrMo4,0.18,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,,410.0,,760.0,850.0,2.963614808774479,110.80540453899887,1.462640567232548
18CrNi8,0.17,0.48,0.31,0.017,0.03,1.85,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,600.0,400.0,,745.0,810.0,79.62868040429731,630.1809065737273,9.174171298046794
18NiCrMo14-6,0.17,0.43,0.27,0.0,0.0,1.48,0.13,3.45,0.0,0.026,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,920.0,1200.0,380.0,300,670.0,760.0,768.5581656218601,22094.48265994914,17.608781460930466
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,410.0,,730.0,820.0,11.491937580777059,1997.8450307460746,0.9223327727230247
19MnB4,0.22,1.33,0.25,0.0,0.0,0.18,0.11,0.12,0.0,0.034,0.033,0.02,0.009,0.0,0.0,0.0,0.0,0.0,,1150.0,600.0,380.0,,725.0,830.0,6.80943085714402,14.240920130785186,8.341195579639319
2,0.183,2.392,0.97,0.012,0.018,0.249,0.211,0.19,0.0,0.02,0.033,0.09,0.0084,0.0018,0.0,0.0,0.0,0.0,,950.0,300.0,390.0,,705.0,855.0,,,8.074427812241204
20MnB4,0.22,1.33,0.25,0.0,0.0,0.18,0.11,0.12,0.0,0.034,0.033,0.02,0.009,0.0,0.0,0.0,0.0,0.0,,1150.0,600.0,390.0,,725.0,830.0,7.0885341959733354,13.700138582802762,
20MnCr5,0.17,1.16,0.3,0.02,0.008,1.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,400.0,,745.0,825.0,3.0653952950565277,34.716868189265604,1.452653925946781
20MnCrS5,0.2,1.25,0.25,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,380.0,,740.0,820.0,4.76641101336526,76.37983632839308,1.672646843565176
